中央台线路1,#genre#
CCTV1,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226226/1.m3u8
CCTV2,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226230/1.m3u8
CCTV3,http://223.110.241.130:6610/gitv/live1/G_CCTV-3-HQ/.m3u8
CCTV4,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226314/1.m3u8
CCTV5,http://39.134.168.91/PLTV/1/224/3221225556/index.m3u8
CCTV6,http://223.110.243.139/PLTV/3/224/3221225548/index.m3u8
CCTV6,http://117.169.124.36:6610/ysten-businessmobile/live/cctv-6/1.m3u8
CCTV7,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226234/1.m3u8
CCTV8,http://39.134.168.91/PLTV/1/224/3221225562/index.m3u8
CCTV9,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226236/1.m3u8
CCTV10,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226227/1.m3u8
CCTV11,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226315/1.m3u8
CCTV12,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226228/1.m3u8
CCTV13,http://39.134.168.91/PLTV/1/224/3221225572/index.m3u8
CCTV14,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226229/1.m3u8
CCTV14,http://117.148.187.37/PLTV/88888888/224/3221226126/index.m3u8
CCTV15,http://111.13.111.167/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226333/1.m3u8
CCTV16,http://ott-live.olympicchannel.com/out/u/OC1_1.m3u8
CCTV17,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226318/1.m3u8
中央台线路2,#genre#
CCTV1,http://ivi.bupt.edu.cn/hls/cctv1hd.m3u8
CCTV2财经,http://ivi.bupt.edu.cn/hls/cctv2.m3u8
CCTV3,http://ivi.bupt.edu.cn/hls/cctv3hd.m3u8
CCTV3-综艺,http://183.207.249.6/PLTV/3/224/3221225588/index.m3u8
